,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
TMMA,ti,60,10,6138,8,99.87,5,99.91,79.50,8,2,0.2477,0.9500,0.3902,6138,9,99.85,6,99.91,91.50,9,2,0.2311,1.0000,0.3751,6138,17,99.73,4,99.94,99.00,17,2,0.1215,1.0000,0.2166
TMMA,ti,62.5,10,6138,8,99.87,5,99.91,79.50,7,2,0.2955,0.9500,0.4487,6138,9,99.85,6,99.91,91.50,7,2,0.2714,1.0000,0.4266,6138,17,99.73,4,99.94,99.00,15,2,0.1385,1.0000,0.2432
TMMA,ti,65,10,6138,8,99.87,5,99.91,79.50,7,2,0.2955,0.9500,0.4487,6138,9,99.85,6,99.91,91.50,7,2,0.2714,1.0000,0.4266,6138,17,99.73,4,99.94,99.00,15,2,0.1385,1.0000,0.2432
TMMA,ti,67.5,10,6138,8,99.87,5,99.91,79.50,7,2,0.2955,0.9500,0.4487,6138,9,99.85,6,99.91,91.50,7,2,0.2714,1.0000,0.4266,6138,17,99.73,4,99.94,99.00,15,2,0.1385,1.0000,0.2432
TMMA,ti,70,10,6138,8,99.87,5,99.91,79.50,7,2,0.2955,0.9500,0.4487,6138,9,99.85,6,99.91,91.50,7,2,0.2714,1.0000,0.4266,6138,17,99.73,4,99.94,99.00,15,2,0.1385,1.0000,0.2432
TMMA,ti,72.5,10,6138,8,99.87,5,99.91,79.50,3,1,0.3500,0.5500,0.4267,6138,9,99.85,6,99.91,91.50,6,2,0.3143,1.0000,0.4778,6138,17,99.73,4,99.94,99.00,12,2,0.1705,1.0000,0.2911
TMMA,ti,75,10,6138,8,99.87,5,99.91,79.50,3,1,0.3500,0.5500,0.4267,6138,9,99.85,6,99.91,91.50,6,2,0.3143,1.0000,0.4778,6138,17,99.73,4,99.94,99.00,12,2,0.1705,1.0000,0.2911
TMMA,ti,77.5,10,6138,8,99.87,5,99.91,79.50,3,1,0.3500,0.5500,0.4267,6138,9,99.85,6,99.91,91.50,6,2,0.3143,1.0000,0.4778,6138,17,99.73,4,99.94,99.00,12,2,0.1705,1.0000,0.2911
TMMA,ti,80,10,6138,8,99.87,5,99.91,79.50,3,1,0.3500,0.5500,0.4267,6138,9,99.85,6,99.91,91.50,6,2,0.3143,1.0000,0.4778,6138,17,99.73,4,99.94,99.00,12,2,0.1705,1.0000,0.2911
TMMA,ti,82.5,10,6138,8,99.87,5,99.91,79.50,1,1,0.6000,0.3000,0.4000,6138,9,99.85,6,99.91,91.50,5,1,0.2400,0.6000,0.3417,6138,17,99.73,4,99.94,99.00,6,2,0.3519,0.9500,0.5111
