,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
TMMA,ti,82.5,10,6138,8,99.87,6,99.90,80.00,1,1,1.0000,0.5000,0.6667,6138,9,99.85,6,99.90,90.00,5,1,0.2000,0.5000,0.2857,6138,17,99.72,3,99.95,100.00,6,2,0.3333,1.0000,0.5000
TMMA,ti,85,10,6138,8,99.87,6,99.90,80.00,1,1,1.0000,0.5000,0.6667,6138,9,99.85,6,99.90,90.00,5,1,0.2000,0.5000,0.2857,6138,17,99.72,3,99.95,100.00,6,2,0.3333,1.0000,0.5000
TMMA,ti,87.5,10,6138,8,99.87,6,99.90,80.00,1,1,1.0000,0.5000,0.6667,6138,9,99.85,6,99.90,90.00,5,1,0.2000,0.5000,0.2857,6138,17,99.72,3,99.95,100.00,5,2,0.4000,1.0000,0.5714
TMMA,ti,90,10,6138,8,99.87,6,99.90,80.00,1,1,1.0000,0.5000,0.6667,6138,9,99.85,6,99.90,90.00,5,1,0.2000,0.5000,0.2857,6138,17,99.72,3,99.95,100.00,5,2,0.4000,1.0000,0.5714
TMMA,ti,92.5,10,6138,8,99.87,6,99.90,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,4,1,0.3333,0.5000,0.4000,6138,17,99.72,3,99.95,100.00,3,2,0.6667,1.0000,0.8000
TMMA,ti,95,10,6138,8,99.87,6,99.90,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,4,1,0.3333,0.5000,0.4000,6138,17,99.72,3,99.95,100.00,3,2,0.6667,1.0000,0.8000
TMMA,ti,97.5,10,6138,8,99.87,6,99.90,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,4,1,0.3333,0.5000,0.4000,6138,17,99.72,3,99.95,100.00,3,2,0.6667,1.0000,0.8000
TMMA,ti,100,10,6138,8,99.87,6,99.90,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,4,1,0.3333,0.5000,0.4000,6138,17,99.72,3,99.95,100.00,3,2,0.6667,1.0000,0.8000
HAILO NPU,hailo,50,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,23,1,0.0445,1.0000,0.0852
HAILO NPU,hailo,52.5,10,296,8,97.30,3,98.99,85.00,8,2,0.2679,1.0000,0.4222,296,19,93.58,14,95.27,95.00,19,2,0.1053,1.0000,0.1905,296,23,92.40,5,98.48,100.00,23,1,0.0445,1.0000,0.0852
