,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
HAILO NPU,hailo,75,296,7,97.64,4,98.65,85.00,5,2,0.4000,1.0000,0.5714,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,19,1,0.0526,1.0000,0.1000
HAILO NPU,hailo,77.5,296,7,97.64,4,98.65,85.00,5,2,0.4000,1.0000,0.5714,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,19,1,0.0526,1.0000,0.1000
HAILO NPU,hailo,80,296,7,97.64,4,98.65,85.00,5,2,0.4000,1.0000,0.5714,296,19,93.58,14,95.27,90.00,19,2,0.1053,1.0000,0.1905,296,21,92.91,19,93.58,80.00,19,1,0.0526,1.0000,0.1000
HAILO NPU,hailo,82.5,296,7,97.64,4,98.65,85.00,3,1,0.3333,0.5000,0.4000,296,19,93.58,14,95.27,90.00,16,2,0.1250,1.0000,0.2222,296,21,92.91,19,93.58,80.00,16,0,0.0000,0.0000,0.0000
HAILO NPU,hailo,85,296,7,97.64,4,98.65,85.00,3,1,0.3333,0.5000,0.4000,296,19,93.58,14,95.27,90.00,16,2,0.1250,1.0000,0.2222,296,21,92.91,19,93.58,80.00,16,0,0.0000,0.0000,0.0000
HAILO NPU,hailo,87.5,296,7,97.64,4,98.65,85.00,1,1,1.0000,0.5000,0.6667,296,19,93.58,14,95.27,90.00,16,2,0.1250,1.0000,0.2222,296,21,92.91,19,93.58,80.00,15,0,0.0000,0.0000,0.0000
HAILO NPU,hailo,90,296,7,97.64,4,98.65,85.00,1,1,1.0000,0.5000,0.6667,296,19,93.58,14,95.27,90.00,16,2,0.1250,1.0000,0.2222,296,21,92.91,19,93.58,80.00,15,0,0.0000,0.0000,0.0000
HAILO NPU,hailo,92.5,296,7,97.64,4,98.65,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.58,14,95.27,90.00,12,0,0.0000,0.0000,0.0000,296,21,92.91,19,93.58,80.00,12,0,0.0000,0.0000,0.0000
HAILO NPU,hailo,95,296,7,97.64,4,98.65,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.58,14,95.27,90.00,12,0,0.0000,0.0000,0.0000,296,21,92.91,19,93.58,80.00,12,0,0.0000,0.0000,0.0000
HAILO NPU,hailo,97.5,296,7,97.64,4,98.65,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.58,14,95.27,90.00,12,0,0.0000,0.0000,0.0000,296,21,92.91,19,93.58,80.00,10,0,0.0000,0.0000,0.0000
HAILO NPU,hailo,100,296,7,97.64,4,98.65,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.58,14,95.27,90.00,12,0,0.0000,0.0000,0.0000,296,21,92.91,19,93.58,80.00,10,0,0.0000,0.0000,0.0000
NVIDIA GPU,nvidia,50,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,39,3,0.0750,1.0000,0.1395,7624,44,99.42,27,99.65,90.00,42,3,0.0714,1.0000,0.1333
NVIDIA GPU,nvidia,52.5,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,39,3,0.0750,1.0000,0.1395,7624,44,99.42,27,99.65,90.00,41,3,0.0732,1.0000,0.1364
NVIDIA GPU,nvidia,55,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,39,3,0.0750,1.0000,0.1395,7624,44,99.42,27,99.65,90.00,41,3,0.0732,1.0000,0.1364
NVIDIA GPU,nvidia,57.5,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,39,3,0.0750,1.0000,0.1395,7624,44,99.42,27,99.65,90.00,41,3,0.0732,1.0000,0.1364
NVIDIA GPU,nvidia,60,7624,30,99.61,12,99.84,80.00,28,2,0.0714,1.0000,0.1333,7624,40,99.48,23,99.70,90.00,39,3,0.0750,1.0000,0.1395,7624,44,99.42,27,99.65,90.00,41,3,0.0732,1.0000,0.1364
