,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
TMMA,ti,60,6138,4,99.93,3,99.95,80.00,4,1,0.2500,0.5000,0.3333,6138,9,99.85,6,99.90,90.00,9,2,0.2222,1.0000,0.3636,6138,15,99.76,2,99.97,100.00,14,2,0.1429,1.0000,0.2500
TMMA,ti,62.5,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,8,2,0.2500,1.0000,0.4000,6138,15,99.76,2,99.97,100.00,13,2,0.1538,1.0000,0.2667
TMMA,ti,65,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,8,2,0.2500,1.0000,0.4000,6138,15,99.76,2,99.97,100.00,13,2,0.1538,1.0000,0.2667
TMMA,ti,67.5,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,8,2,0.2500,1.0000,0.4000,6138,15,99.76,2,99.97,100.00,13,2,0.1538,1.0000,0.2667
TMMA,ti,70,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,8,2,0.2500,1.0000,0.4000,6138,15,99.76,2,99.97,100.00,13,2,0.1538,1.0000,0.2667
TMMA,ti,72.5,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,7,2,0.2857,1.0000,0.4444,6138,15,99.76,2,99.97,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,75,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,7,2,0.2857,1.0000,0.4444,6138,15,99.76,2,99.97,100.00,12,2,0.1667,1.0000,0.2857
TMMA,ti,77.5,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,7,2,0.2857,1.0000,0.4444,6138,15,99.76,2,99.97,100.00,11,2,0.1818,1.0000,0.3077
TMMA,ti,80,6138,4,99.93,3,99.95,80.00,3,1,0.3333,0.5000,0.4000,6138,9,99.85,6,99.90,90.00,7,2,0.2857,1.0000,0.4444,6138,15,99.76,2,99.97,100.00,11,2,0.1818,1.0000,0.3077
TMMA,ti,82.5,6138,4,99.93,3,99.95,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,5,1,0.2000,0.5000,0.2857,6138,15,99.76,2,99.97,100.00,3,2,0.6667,1.0000,0.8000
TMMA,ti,85,6138,4,99.93,3,99.95,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,5,1,0.2000,0.5000,0.2857,6138,15,99.76,2,99.97,100.00,3,2,0.6667,1.0000,0.8000
TMMA,ti,87.5,6138,4,99.93,3,99.95,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,5,1,0.2000,0.5000,0.2857,6138,15,99.76,2,99.97,100.00,3,2,0.6667,1.0000,0.8000
TMMA,ti,90,6138,4,99.93,3,99.95,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,5,1,0.2000,0.5000,0.2857,6138,15,99.76,2,99.97,100.00,3,2,0.6667,1.0000,0.8000
TMMA,ti,92.5,6138,4,99.93,3,99.95,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,3,1,0.3333,0.5000,0.4000,6138,15,99.76,2,99.97,100.00,2,2,1.0000,1.0000,1.0000
TMMA,ti,95,6138,4,99.93,3,99.95,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,3,1,0.3333,0.5000,0.4000,6138,15,99.76,2,99.97,100.00,2,2,1.0000,1.0000,1.0000
TMMA,ti,97.5,6138,4,99.93,3,99.95,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,3,1,0.3333,0.5000,0.4000,6138,15,99.76,2,99.97,100.00,2,2,1.0000,1.0000,1.0000
TMMA,ti,100,6138,4,99.93,3,99.95,80.00,0,0,0.0000,0.0000,0.0000,6138,9,99.85,6,99.90,90.00,3,1,0.3333,0.5000,0.4000,6138,15,99.76,2,99.97,100.00,2,2,1.0000,1.0000,1.0000
AWS INF,aws,50,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,52.5,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,55,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,57.5,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,60,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,62.5,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,65,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,67.5,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,70,635,1,99.84,1,99.84,70.00,1,1,1.0000,0.3333,0.5000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,16,3,0.1875,1.0000,0.3158
AWS INF,aws,72.5,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,15,3,0.2000,1.0000,0.3333
AWS INF,aws,75,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,15,3,0.2000,1.0000,0.3333
AWS INF,aws,77.5,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,15,3,0.2000,1.0000,0.3333
AWS INF,aws,80,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,11,3,0.2308,1.0000,0.3750,635,16,97.48,13,97.95,90.00,15,3,0.2000,1.0000,0.3333
AWS INF,aws,82.5,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,8,3,0.3000,1.0000,0.4615,635,16,97.48,13,97.95,90.00,12,2,0.1667,0.6667,0.2667
AWS INF,aws,85,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,8,3,0.3000,1.0000,0.4615,635,16,97.48,13,97.95,90.00,12,2,0.1667,0.6667,0.2667
AWS INF,aws,87.5,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,8,3,0.3000,1.0000,0.4615,635,16,97.48,13,97.95,90.00,12,2,0.1667,0.6667,0.2667
AWS INF,aws,90,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,8,3,0.3000,1.0000,0.4615,635,16,97.48,13,97.95,90.00,12,2,0.1667,0.6667,0.2667
AWS INF,aws,92.5,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,7,0,0.0000,0.0000,0.0000,635,16,97.48,13,97.95,90.00,9,1,0.1111,0.3333,0.1667
AWS INF,aws,95,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,7,0,0.0000,0.0000,0.0000,635,16,97.48,13,97.95,90.00,9,1,0.1111,0.3333,0.1667
AWS INF,aws,97.5,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,7,0,0.0000,0.0000,0.0000,635,16,97.48,13,97.95,90.00,9,1,0.1111,0.3333,0.1667
AWS INF,aws,100,635,1,99.84,1,99.84,70.00,0,0,0.0000,0.0000,0.0000,635,11,98.27,8,98.74,90.00,7,0,0.0000,0.0000,0.0000,635,16,97.48,13,97.95,90.00,9,1,0.1111,0.3333,0.1667
